mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
match,RUN,match_yg8_sig1.2_ep0.0175,0.0175,8.0,1.2,2,0.03,7.7,6.65,0.25671446817742405,0.6138843808940877,0.0032840281946789176,0.003199023389863223,8.500480481569463e-05,226.3334806403048,117.57378323716347,12.0
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,2,0.03,7.25,6.6000000000000005,0.390867679016444,0.6391039644636854,0.003202844471711873,0.003199023389863223,3.821081848650026e-06,190.18479553519617,112.67985027803144,12.0
match,RUN,match_yg10_sig1.2_ep0.00442188,0.0044218750000000005,10.0,1.2,2,0.03,6.9,6.5,0.5721540756421256,0.6944114642866767,0.003125100513050089,0.003199023389863223,-7.392287681313395e-05,136.90629231643433,97.78518624832,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,2,0.03,6.75,6.45,0.6601496709772151,0.739586916029681,0.003221290109067946,0.003199023389863223,2.2266719204723073e-05,105.50131081522422,80.84123911635746,12.0
fixed,OFF,OFF,0.0,0.0,1.2,3,0.02,6.3,5.9,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,3,0.02,7.3500000000000005,6.4,0.4334580677889088,0.7279598420314244,0.00316363179790394,nan,nan,179.079604834688,85.9898292047815,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,3,0.02,7.3500000000000005,6.4,0.4334580677889088,0.7279598420314244,0.00316363179790394,0.00316363179790394,0.0,179.079604834688,85.9898292047815,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,3,0.02,7.3500000000000005,6.4,0.4436711983177617,0.7342106597196851,0.0032377403431359717,0.00316363179790394,7.410854523203165e-05,171.8262561918094,82.09099931184717,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,3,0.02,7.2,6.4,0.4660014485619125,0.7460272903518254,0.003195560430811618,0.00316363179790394,3.1928632907677734e-05,167.10638493619754,79.47673503507174,12.0
match,RUN,match_yg3_sig1.2_ep0.00975,0.009750000000000002,3.0,1.2,3,0.02,7.4,6.4,0.44218772330751466,0.7344992833845613,0.0032526899636357983,0.00316363179790394,8.905816573185829e-05,171.49260548305466,81.62496874392136,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,3,0.02,7.8,6.6000000000000005,0.36362177840372867,0.7307515168977026,0.0031701026240254747,0.00316363179790394,6.4708261215346355e-06,200.74372885385728,84.93368039940583,12.0
match,RUN,match_yg5_sig1.2_ep0.029125,0.029125,5.0,1.2,3,0.02,8.0,6.75,0.2565228905946688,0.7288741460600728,0.003124409245773119,0.00316363179790394,-3.922255213082088e-05,237.95765884739646,86.7766776412923,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,3,0.02,8.3,7.2,0.2110517886948111,0.6992910642002685,0.003069566451446572,0.00316363179790394,-9.406534645736795e-05,257.0226850548836,97.96462808551304,12.0
match,RUN,match_yg7_sig1.2_ep0.036875,0.036875000000000005,7.0,1.2,3,0.02,8.3,7.25,0.20732034688094575,0.6825684541552646,0.003143687299831864,0.00316363179790394,-1.9944498072076242e-05,252.14965024080155,100.97427497375864,12.0
match,RUN,match_yg8_sig1.2_ep0.0175,0.0175,8.0,1.2,3,0.02,8.15,7.25,0.22639757053157564,0.6636321381348639,0.003244451806583615,0.00316363179790394,8.082000867967514e-05,238.43856391968487,103.6747906634277,12.0
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,3,0.02,7.8500000000000005,7.1000000000000005,0.3353592122874159,0.6522778553200453,0.003158682476060285,0.00316363179790394,-4.949321843655211e-06,210.41709407321233,110.084551807707,12.0
match,RUN,match_yg10_sig1.2_ep0.00442188,0.0044218750000000005,10.0,1.2,3,0.02,7.4,6.95,0.49495651397099005,0.6748086511630078,0.00307808088344198,0.00316363179790394,-8.555091446195992e-05,164.07739275007577,105.64743460326352,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,3,0.02,7.3500000000000005,6.8500000000000005,0.5731223783225444,0.7117016896755125,0.0031761462942704903,0.00316363179790394,1.251449636655022e-05,134.40112076937643,90.7698461007776,12.0
fixed,OFF,OFF,0.0,0.0,1.2,3,0.03,5.5,5.45,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,3,0.03,6.7,5.8500000000000005,0.44505648051597085,0.777823480235932,0.0032825924936359593,nan,nan,169.0564761114611,67.68324737073121,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,3,0.03,6.7,5.8500000000000005,0.44505648051597085,0.777823480235932,0.0032825924936359593,0.0032825924936359593,0.0,169.0564761114611,67.68324737073121,12.0
match,RUN,match_yg1_sig1.2_ep0.0107188,0.010718750000000003,1.0,1.2,3,0.03,6.65,5.8500000000000005,0.4526209983777886,0.7814876722718784,0.0033528130679187176,0.0032825924936359593,7.022057428275824e-05,163.25962424204008,65.17283346899046,12.0
match,RUN,match_yg2_sig1.2_ep0.00878125,0.00878125,2.0,1.2,3,0.03,6.6000000000000005,5.8500000000000005,0.4695623593859259,0.7870854162946473,0.0033080623561327466,0.0032825924936359593,2.5469862496787284e-05,160.34692926229368,64.362324764113,12.0
match,RUN,match_yg3_sig1.2_ep0.00975,0.009750000000000002,3.0,1.2,3,0.03,6.75,5.9,0.4445132110840688,0.763663837339073,0.003370413479790441,0.0032825924936359593,8.78209861544816e-05,164.81265347611568,70.12082169681493,12.0
match,RUN,match_yg4_sig1.2_ep0.0145938,0.014593750000000003,4.0,1.2,3,0.03,7.05,6.05,0.3639254774212776,0.7395546499741101,0.0032594591011503114,0.0032825924936359593,-2.3133392485647983e-05,195.14726303951542,79.9044694053608,12.0
match,RUN,match_yg5_sig1.2_ep0.0310625,0.0310625,5.0,1.2,3,0.03,7.4,6.4,0.23782997123140073,0.7347657625910081,0.0032922295151858938,0.0032825924936359593,9.63702154993442e-06,231.50573957647174,80.5637140987771,12.0
match,RUN,match_yg6_sig1.2_ep0.05625,0.05625,6.0,1.2,3,0.03,7.75,6.6000000000000005,0.19003004744623236,0.7132072229915449,0.003339549109935242,0.0032825924936359593,5.695661629928281e-05,242.53871582366816,85.87769413398934,12.0
match,RUN,match_yg7_sig1.2_ep0.04075,0.04075,7.0,1.2,3,0.03,7.7,6.65,0.19141721880895213,0.6989108343266247,0.0033456081449231003,0.0032825924936359593,6.3015651287141e-05,241.68484358159444,89.99534692377905,12.0
match,RUN,match_yg8_sig1.2_ep0.0175,0.0175,8.0,1.2,3,0.03,7.4,6.6000000000000005,0.2165990728239681,0.6748348362253298,0.0033220703989039983,0.0032825924936359593,3.947790526803892e-05,235.817075831532,97.88027486772921,12.0
match,RUN,match_yg9_sig1.2_ep0.0078125,0.007812500000000002,9.0,1.2,3,0.03,6.9,6.45,0.3671677882812473,0.6302813495277567,0.0032692157472012256,0.0032825924936359593,-1.337674643473374e-05,193.5730954007915,113.09093038254183,12.0
match,RUN,match_yg10_sig1.2_ep0.00490625,0.004906250000000001,10.0,1.2,3,0.03,6.65,6.4,0.5476320025174954,0.6332851164790955,0.0033682940196786697,0.0032825924936359593,8.570152604271035e-05,134.30181416456625,108.87258694711235,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,3,0.03,6.6000000000000005,6.3500000000000005,0.664799176505658,0.689616252523967,0.003239544813042219,0.0032825924936359593,-4.304768059374027e-05,103.47158099028078,95.81091338093121,12.0
