mode,kind,case,eta_peak,yg,sigma,seed,jitter,t_onset_curl,t_onset_div,jc_ratio,jd_ratio,Deta_int,Deta_target,Deta_err,eff_curl,eff_div,Tmax
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,2,0.02,6.9,5.95,0.4494632972186856,0.7531354525820799,0.003166982122269186,nan,nan,173.83637845951822,77.94946036545298,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,2,0.02,6.9,5.95,0.4494632972186856,0.7531354525820799,0.003166982122269186,0.003166982122269186,0.0,173.83637845951822,77.94946036545298,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,2,0.02,7.8500000000000005,6.65,0.22082215332025976,0.6077686571115565,0.0030914297085632737,0.003166982122269186,-7.555241370591241e-05,252.04449725038683,126.87700509636723,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,2,0.02,6.8,6.5,0.6485972259168628,0.7578280846665325,0.0032104077676611284,0.003166982122269186,4.3425645391942293e-05,109.45736476931837,75.43338194384462,12.0
fixed,OFF,OFF,0.0,0.0,1.2,2,0.03,5.5,5.0,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,2,0.03,6.75,5.8500000000000005,0.48624764261294695,0.7476185548366558,0.003199023389863223,nan,nan,160.59662427445363,78.89327910607585,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,2,0.03,6.75,5.8500000000000005,0.48624764261294695,0.7476185548366558,0.003199023389863223,0.003199023389863223,0.0,160.59662427445363,78.89327910607585,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,2,0.03,7.7,6.4,0.23620917997442253,0.6361488391038977,0.0031162551375513562,0.003199023389863223,-8.27682523118667e-05,245.0989364836595,116.75910502694067,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,2,0.03,6.65,6.3500000000000005,0.6601496709772151,0.739586916029681,0.003221290109067946,0.003199023389863223,2.2266719204723073e-05,105.50131081522422,80.84123911635746,12.0
fixed,OFF,OFF,0.0,0.0,1.2,3,0.02,6.15,5.8500000000000005,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,3,0.02,7.2,6.3,0.4334580677889088,0.7279598420314244,0.00316363179790394,nan,nan,179.079604834688,85.9898292047815,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,3,0.02,7.2,6.3,0.4334580677889088,0.7279598420314244,0.00316363179790394,0.00316363179790394,0.0,179.079604834688,85.9898292047815,12.0
match,RUN,match_yg6_sig1.2_ep0.0485,0.0485,6.0,1.2,3,0.02,8.15,7.05,0.2110517886948111,0.6992910642002685,0.003069566451446572,0.00316363179790394,-9.406534645736795e-05,257.0226850548836,97.96462808551304,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,3,0.02,7.2,6.8,0.5731223783225444,0.7117016896755125,0.0031761462942704903,0.00316363179790394,1.251449636655022e-05,134.40112076937643,90.7698461007776,12.0
fixed,OFF,OFF,0.0,0.0,1.2,3,0.03,5.5,5.25,1.0,1.0,0.0,nan,nan,nan,nan,12.0
match,REF,ref_match_yg0_sig1.2,0.012,0.0,1.2,3,0.03,6.6000000000000005,5.8,0.44505648051597085,0.777823480235932,0.0032825924936359593,nan,nan,169.0564761114611,67.68324737073121,12.0
match,RUN,match_yg0_sig1.2,0.012,0.0,1.2,3,0.03,6.6000000000000005,5.8,0.44505648051597085,0.777823480235932,0.0032825924936359593,0.0032825924936359593,0.0,169.0564761114611,67.68324737073121,12.0
match,RUN,match_yg6_sig1.2_ep0.05625,0.05625,6.0,1.2,3,0.03,7.7,6.55,0.19003004744623236,0.7132072229915449,0.003339549109935242,0.0032825924936359593,5.695661629928281e-05,242.53871582366816,85.87769413398934,12.0
match,RUN,match_yg11_sig1.2_ep0.00345313,0.003453125,11.0,1.2,3,0.03,6.6000000000000005,6.25,0.664799176505658,0.689616252523967,0.003239544813042219,0.0032825924936359593,-4.304768059374027e-05,103.47158099028078,95.81091338093121,12.0
