a,L,Ra,RL,|R|,Ia,IL,dEda,dEdL
0.4,3.5,35.95736272329083,0.007293412112321096,35.957363462970484,-40.581787109375,-0.2351635992527008,4.624424386084176,0.2278701871403797
0.48333333333333334,3.5,24.44126896830936,-0.16872250053682802,24.441851322341144,-30.3074951171875,-0.17213836312294006,5.866226148878141,0.3408608636597681
0.5666666666666667,3.5,14.881199316382268,-0.34434647947473285,14.88518282023512,-22.085220336914062,-0.1353941112756729,7.204021020531794,0.47974059075040576
0.65,3.5,6.856676854057403,-0.5243908530127884,6.876700026007388,-15.494485855102539,-0.12157295644283295,8.637809001045136,0.6459638094556214
0.7333333333333334,3.5,1.9844742330071252,-0.7230262437705752,2.1120854458686575,-12.152064323425293,-0.11795871704816818,10.167590090418168,0.8409849608187434
0.8166666666666667,3.5,-2.255923034988774,-0.947127457230909,2.4466792106922495,-9.53744125366211,-0.11913102865219116,11.793364288650883,1.0662584858831001
0.9,3.5,-6.146087768686405,-1.2009912564290395,6.262329826703128,-7.369043827056885,-0.12224756926298141,13.51513159574329,1.323238825692021
0.4,3.75,35.46752214788214,-0.09085296688166694,35.46763851135428,-40.39353942871094,-0.13701722025871277,4.926017280828796,0.2278701871403797
0.48333333333333334,3.75,23.938688950725556,-0.2382825142482805,23.939874837521316,-30.18199348449707,-0.10257834941148758,6.243304533771516,0.3408608636597681
0.5666666666666667,3.75,14.372361717819526,-0.39781012475414035,14.377866122731882,-22.033309936523438,-0.08193046599626541,7.66094821870391,0.47974059075040576
0.65,3.75,6.302270956061033,-0.5709783276569725,6.328083078963518,-15.481219291687012,-0.07498548179864883,9.178948335625979,0.6459638094556214
0.7333333333333334,3.75,1.3558323224935283,-0.7668303901200053,1.5576617520918314,-12.15313720703125,-0.0741545706987381,10.797304884537722,0.8409849608187434
0.8166666666666667,3.75,-2.968543957968432,-0.9902172568138672,3.1293423344343236,-9.547473907470703,-0.07604122906923294,12.516017865439135,1.0662584858831001
0.9,3.75,-6.952729204141992,-1.2440919711125722,7.063158515757359,-7.382358074188232,-0.0791468545794487,14.335087278330224,1.323238825692021
0.4,4.0,35.03465789083283,-0.11973802594033317,35.03486250469026,-40.26226806640625,-0.10813216120004654,5.227610175573416,0.2278701871403797
0.48333333333333334,4.0,23.475201950719875,-0.2595866746048021,23.476637149913838,-30.095584869384766,-0.08127418905496597,6.62038291866489,0.3408608636597681
0.5666666666666667,4.0,13.88241259276753,-0.41477208673877475,13.888607391663433,-22.000288009643555,-0.06496850401163101,8.117875416876025,0.47974059075040576
0.65,4.0,5.755822516560759,-0.5859000524532677,5.785565807560447,-15.475910186767578,-0.06006375700235367,9.72008767020682,0.6459638094556214
0.7333333333333334,4.0,0.7305559286425289,-0.7807527759914157,1.0692459315298093,-12.157575607299805,-0.06023218482732773,11.427019678657276,0.8409849608187434
0.8166666666666667,4.0,-3.684662004666352,-1.0037061157520843,3.8189213209268917,-9.554009437561035,-0.06255237013101578,13.238671442227387,1.0662584858831001
0.9,4.0,-7.759979083811448,-1.2573074309957852,7.8611765886048115,-7.395063877105713,-0.06593139469623566,15.15504296091716,1.323238825692021
